Year,Precipitation
1960,149.58
1961,134.82
1962,130.41
1963,132.18
1964,123.41
1965,187.53
1966,120.27
1967,179.02
1968,136.25
1969,191.72
1970,136.15
1971,125.43
1972,157.69
1973,160.12
1974,150.3
1975,127.07
1976,132.74
1977,132.28
1978,194.5
1979,161.4
1980,164.21
1981,156.67
1982,172.9
1983,211.32
1984,179.63
1985,160.12
1986,175.2
1987,165.18
1988,151.4
1989,107.74
1990,147.49
1991,171.07
1992,183.73
1993,175.53
1994,147.73
1995,182.12
1996,159.41
1997,175
1998,187.14
1999,163.11
2000,148.47
2001,145.79
2002,98.18
2003,120.27
2004,175.9
2005,160.52
2006,150.79
2007,130.94
2008,133.45
2009,136.39
2010,176.79
2011,126.29
2012,98.7
2013,128.43
2014,154.87
2015,188.65
2016,143.02
2017,153.75
2018,125.13
2019,172.1
2020,89.21
